month,elec_all,elec_office,elec_hotel,elec_school
January,51419.295793193225,369248.17918626725,255809.62544890956,141445.81707230167
February,47034.01099128182,342843.37118439836,232280.0720007598,135122.76726580845
March,44133.4833403692,332910.38232876064,225501.924995172,146741.2350665961
April,40990.906145406276,318167.3081730481,217946.19405543595,141464.98570424863
May,42336.805358545396,339181.05115846166,230968.48350302957,161935.0399601057
June,45376.418002449565,366229.6450302315,241920.1357106355,183518.47927544187
July,50527.00013165517,406281.0788681836,272393.3508336922,164768.10533930056
August,52513.541940714684,425703.2642142904,274380.77208690107,171179.84829075413
September,45428.70962282647,366763.01438484504,239223.38159340378,181061.86752401732
October,41631.24607582121,324581.0227294515,222935.8267557535,152231.0219994285
November,42342.56629732319,322804.8656101359,216512.89561228626,142932.3706306738
December,48248.52821059467,351838.9432577132,237333.79236404732,140023.0850286894
